filename,page,image_url,source,status,notes
7689.jpg,https://artsandculture.google.com/asset/kauravas/sgG8R20ro6qFoQ,https://lh3.googleusercontent.com/ci/AL18g_RvDJz9C2AvzNjxkZtsjGzlL7SGFRd040-cyrcONAwbkN0XxEu-2ywhhJOddCyhuDuKF2ot09A,og:image,ok,
9575.jpg,https://artsandculture.google.com/asset/pumpkin-with-a-stable-lad-george-stubbs-1724%E2%80%931806-british/rgFU9LOEVr-aoA,https://lh3.googleusercontent.com/ci/AL18g_Swpi6OKKe_lGJ0kOIqf7gJ3zoq5oftu6hRCp9Zc2o-IoyAMgwxmVSZQAlvVK8tverHAM0Lp4U,og:image,ok,
11006.jpg,https://artsandculture.google.com/asset/reaping-joaquim-vayreda/NgF-Bu6itXQBtQ,https://lh3.googleusercontent.com/ci/AL18g_QApRySeDcvGjz7PfRRfEUlZ7hGh9V0ShG9Gb_E80wKbsO6uaUUDh9qBosMWmjLicK87BtTug,og:image,ok,
6370.jpg,https://artsandculture.google.com/asset/girls-in-the-sun-william-glackens/fQEp2d2b6N1Ruw,https://lh3.googleusercontent.com/ci/AL18g_Q8AayJmsyFT2_4ExxKjoZVhLYu_zc_eZrYsUmvXxZiQ1VXFP4VgyHGe7umyNKt0az2hdzzZQ,og:image,ok,
2080.jpg,https://artsandculture.google.com/asset/ceiling-painting-with-a-nymph-piedmontese-artist/3wFUz6bf7R8tLg,https://lh3.googleusercontent.com/ci/AL18g_TREnGWL3-vMB7h6iwrhHLOQlzgjngm67xK8lyUQw5bNUACCr2wwEGRJ04Cy689ba9tMJsx4ts,og:image,ok,
12160.jpg,https://artsandculture.google.com/asset/the-grupo-do-le%C3%A3o-columbano-bordalo-pinheiro/nwGi3mHDOoK5UQ,https://lh3.googleusercontent.com/ci/AL18g_T7OmV9VmJDefU9Uf7YjR0qmdo1ZtzPiQI3g-V5RqX5Fvn4Fv3rBslG53yvgPu4Ucj0CrW3TqiU,og:image,ok,
11390.jpg,https://artsandculture.google.com/asset/john-reading/yQFiQPPFXW2G3Q,https://lh3.googleusercontent.com/ci/AL18g_TqW6w1sD5u-ipDej6ZUesWLyASUSNOYoTAB5-TEKisfhZGxJsOgkuwPzw1gjarx2hQjJby31g,og:image,ok,
6051.jpg,https://artsandculture.google.com/asset/boy-in-flowers-jacques-hosched%C3%A9/fAE1Q1sfj23yIQ,https://lh3.googleusercontent.com/ci/AL18g_Qn3S0qQrt0qwO5wCL5nJnUIhUP-8Zp1681ADZpLpINQofTl5gNoSPry5j3oOSjEgfPkOVIZw,og:image,ok,
9364.jpg,https://artsandculture.google.com/asset/mary-cassatt-edgar-degas/NQEN6L1Ys9hFvA,https://lh3.googleusercontent.com/ci/AL18g_SEp702LZ_VR93CtiiqLv4778CYlOY25vHQ-XuSZQPG6KzY7LItVwFaCbhK8UdBKw8sGjkyfTc-,og:image,ok,
13649.jpg,https://artsandculture.google.com/asset/two-beggars-giacomo-ceruti-known-as-pitocchetto/oQHfWUfvdIa-RA,https://lh3.googleusercontent.com/ci/AL18g_QE3goS_8yZGFhujT7hCZdfLZaC17RqBENFpfynEtuDhihXm_2R2LZKUYIcyp5FZ97iCZhG,og:image,ok,
5676.jpg,https://artsandculture.google.com/asset/orchards-in-blossom-view-of-arles-vincent-van-gogh/dAGFLZrR_19-jQ,https://lh3.googleusercontent.com/ci/AL18g_St4kXAPFOcUjZndplg9AyfV389eazdCwl7OKgw__en4-9ASYrJUO_fQaDrNQ9SUfDtH_K9VQ,og:image,ok,
12613.jpg,https://artsandculture.google.com/asset/a-peasant-eating-mussels/AQGaIvCEwD5gPA,https://lh3.googleusercontent.com/ci/AL18g_RtGWNGit6QjBbkGRbSJcWxkddjeJw_yYQfiioH7xKFzvv3ePczGUoqctnIy_hNxdKM8clfa-c,og:image,ok,
13294.jpg,https://artsandculture.google.com/asset/mina-moiseyev/TwEOzBlCnPvPzA,https://lh3.googleusercontent.com/ci/AL18g_Qx87S8qwTx_nL4ip4NZ253dMWd8okJgdanTu3ywf-cLfKjNa5SiXy-gIjjqm10KaDlPwVIhiU,og:image,ok,
5370.jpg,https://artsandculture.google.com/asset/3am-on-the-12th-april-2020-amy-jones/8wFvKFqbm0xE1g,https://lh3.googleusercontent.com/ci/AL18g_QPBvG1XOLIaFN5B66OiVA8Ut7_6Fk44aBpwHyMl_uPxewB7_S-Ld4hpX_2gnGMSkk01ZyIKJI,og:image,ok,
11737.jpg,https://artsandculture.google.com/asset/gaze-karl-kraus-%E2%80%93-the-great-wall-of-china-arnold-sch%C3%B6nberg/HgHz_v91zhFjZw,https://lh3.googleusercontent.com/ci/AL18g_SlsA1-X2lW_CFodW7NRhyhlHgGiktgHwvydsynwkJ-i2vYDuJcrN8DyRTJFyezaLfMOj9mJkc,og:image,ok,
7991.jpg,https://artsandculture.google.com/asset/a-tamil-lady-raja-ravi-varma/NgEcYNri9WW1Qg,https://lh3.googleusercontent.com/ci/AL18g_S2ZRdXq0Lu1RX8zunBIYfOWpvqVT5MFEJy2kbHObc91Gre1y1UWjMli78pSUdNcSpNAy-RsA,og:image,ok,
5863.jpg,https://artsandculture.google.com/asset/rhode-island-shore-martin-johnson-heade/rwFPPUcjNMEJag,https://lh3.googleusercontent.com/ci/AL18g_SdMNcsnQImekm1HkoRPrFzHT_1cLupZWC7s2-mqsLNrPXYgOwVt683ZLa5-DKAu1YhrxJ0QA,og:image,ok,
6287.jpg,https://artsandculture.google.com/asset/oda-paints-niels-gaihede/bAE8nBBmLb4A7Q,https://lh3.googleusercontent.com/ci/AL18g_SCI_Lo_fqs_ShFZKoXWP5G2D4Ua7nupReam1avTYxDtdoHL52yKBtjcrxDBUdqx8bZ88b_5xQ,og:image,ok,
6449.jpg,https://artsandculture.google.com/asset/breton-landscape-jan-verkade-dutch-1868-1946/owF8fJRmpo1NrQ,https://lh3.googleusercontent.com/ci/AL18g_SvU6RH8eHrDLo7_67SRo4E5K4Ud5vw3Jl2Q5-2MIhad4_8IA52i8UZGg8154utdKQ_zgPkLKo,og:image,ok,
8453.jpg,https://artsandculture.google.com/asset/white-roses-lee-in-sung/sAHpF_dhpKRtng,https://lh3.googleusercontent.com/ci/AL18g_TkSJ6Z4h0Du41lmtmyzeUXtJJwtBSjdchC5eL9uEhaqQF2WksFXiqyyj9cUUZwf7ZUL5rvmA,og:image,ok,
