filename,page
3454.jpg,https://artsandculture.google.com/asset/space-contemplation-lee-suk-ju/lgFUOtICMLHnWg
13008.jpg,https://artsandculture.google.com/asset/d%C3%A9masqu%C3%A9e-akseli-gallen-kallela/fwE0w5T_rcybzA
2873.jpg,https://artsandculture.google.com/asset/foot-smells-suellen-rocca/2QFlKVHSDpwx2w
12740.jpg,https://artsandculture.google.com/asset/the-potato-eaters-vincent-van-gogh/7gFcKarE9QeaXw
1646.jpg,https://artsandculture.google.com/asset/tr%C3%ADptico-%E2%80%9Ccavalhadas-em-sorocaba-1830-alc%C3%A2ncia-das-canas-desfile-de-crist%C3%A3o-e-mouros-argolinha%E2%80%9D-alfredo-norfini/LQErOSkEF3b9lQ
5836.jpg,https://artsandculture.google.com/asset/patch-of-grass-vincent-van-gogh/TAH9aKG-J5sfWA
12149.jpg,https://artsandculture.google.com/asset/portrait-de-fran%C3%A7ois-ier-1494-1547-roi-de-france/8QEEIPFzZ8g64Q
2628.jpg,https://artsandculture.google.com/asset/the-little-maure-mountains-henri-edmond-cross/_wHb632xk0Hu3w
13631.jpg,https://artsandculture.google.com/asset/la-matin%C3%A9e-angoissante-giorgio-de-chirico/mAFtK1XvpLX_Bg
437.jpg,https://artsandculture.google.com/asset/series-the-birth-of-olympism/dwFP9Ley12uvng
13925.jpg,https://artsandculture.google.com/asset/attention-company-william-michael-harnett/QQG9Pzy9obBZ0g
10571.jpg,https://artsandculture.google.com/asset/scene-in-the-jewish-quarter-of-constantine-th%C3%A9odore-chass%C3%A9riau/4gF6e_zPz8oKaA
2521.jpg,https://artsandculture.google.com/asset/water-lilies/AwFXeMnZK5jOBw
14626.jpg,https://artsandculture.google.com/asset/the-return-of-the-wounded-soldier-domenico-induno/2gFcahyx0pcJ7g
8318.jpg,https://artsandculture.google.com/asset/between-red-109-lee-seahyun-and-%EC%9D%B4%EC%84%B8%ED%98%84/kAGVac9EG1p6xg
4849.jpg,https://artsandculture.google.com/asset/broken-sea-park-yuna/GwH5jfjDTqmvlw
5038.jpg,https://artsandculture.google.com/asset/oil-bottle-unknown/BQE7D2_D2dww5A
13990.jpg,https://artsandculture.google.com/asset/susanna-stefan-wife-of-wolfgang-furter-nicolas-de-neufch%C3%A2tel/RAFL0B0_1poLnw
2264.jpg,https://artsandculture.google.com/asset/evolving-rock-no-4-brian-chugg/TAGx829OIOYoJg
8396.jpg,https://artsandculture.google.com/asset/%D8%A7%D9%85%D8%B1%D8%A3%D8%A9-shaker-hassan-al-said/wwG9HcNQdC6tbQ
8969.jpg,https://artsandculture.google.com/asset/7-virgins-delusional-dream-septych-victor-ehikhamenor/agF2F0iwwI48UQ
11948.jpg,https://artsandculture.google.com/asset/dom-jo%C3%A3o-vi-listening-to-father-jos%C3%A9-maur%C3%ADcio-at-the-harpsichord-study-henrique-bernardelli/pgEltidSOAjiKA
4823.jpg,https://artsandculture.google.com/asset/sydney/lwFKdPZrI3SIFg
12226.jpg,https://artsandculture.google.com/asset/scorn-paolo-veronese/SwEl408K2ie64Q
3739.jpg,https://artsandculture.google.com/asset/city-scape-ii-akhile-ehiforia/vQHVE9LZQ7bKLg
8407.jpg,https://artsandculture.google.com/asset/untitled-rafic-charaf/TgHDzneQANmkfg
2960.jpg,https://artsandculture.google.com/asset/the-atmosphere-is-electric-detail-rob-mchaffie/HgHTo2yDs1uWPw
3141.jpg,https://artsandculture.google.com/asset/ships-in-the-roads-velde-the-younger-willem-van-de/DAGCLn1cAUvyzA
6800.jpg,https://artsandculture.google.com/asset/they-golf-ground-detail-lai-sheng-yu-yang-xiao-gang/EAFY7UqLD82kvw
1404.jpg,https://artsandculture.google.com/asset/the-seine-at-rouen-monet-claude/bwG2nuNbd9xhig
11199.jpg,https://artsandculture.google.com/asset/saint-jerome-reading-bartolom%C3%A9-esteban-murillo/kQEd2P3-_Jw15w
10225.jpg,https://artsandculture.google.com/asset/fairytales-of-purvapalli-k-g-subramanyan/GAFzek1m-x5vZQ
14695.jpg,https://artsandculture.google.com/asset/the-holy-family-with-shepherds-jacob-jordaens/5QE78mXGUKhKNg
3015.jpg,https://artsandculture.google.com/asset/the-ascension-john-alexander/UwGB6jmf8pXJRA
9892.jpg,https://artsandculture.google.com/asset/lady-bampfylde-sir-joshua-reynolds/sgFa7I9EK9Jn7A
15852.jpg,https://artsandculture.google.com/asset/draughts-players-sweerts-michael/UQEgr5LmRkAzTw
9395.jpg,https://artsandculture.google.com/asset/le-d%C3%A9jeuner-d%E2%80%99hu%C3%AEtres/6wFywkBBf9pskg
2256.jpg,https://artsandculture.google.com/asset/oh-baby-1-and-2-from-the-%E2%80%9Csidewalk%E2%80%9D-series-karin-davie/fQGPJdJ3GEgx9A
6544.jpg,https://artsandculture.google.com/asset/hayfield-near-days-lock-oxon-george-v-cole/GQGnJrSK5f6cKg
38.jpg,https://artsandculture.google.com/asset/saint-werner-master-of-messkirch/XAEKKA1Cd1s6Vg
15433.jpg,https://artsandculture.google.com/asset/mar%C3%ADa-teresa-gonz%C3%A1lez-del-valle/BQHUWXe4wbz6-A
3780.jpg,https://artsandculture.google.com/asset/moya-malconensis-mona-lisa-santos/DwEa92jk2rruIQ
2226.jpg,https://artsandculture.google.com/asset/the-owner-reinhold-rossig/OAG2dqfarCvhKg
14063.jpg,https://artsandculture.google.com/asset/the-cathedral-franti%C5%A1ek-kupka/DwHa_BZQUdYEzw
16026.jpg,https://artsandculture.google.com/asset/camp-fire-winslow-homer/vQGz_kz1zuo6wg
8177.jpg,https://artsandculture.google.com/asset/retrato-de-fernando-pessoa-jos%C3%A9-de-almada-negreiros/1AGFB7vOQJ5JOw
396.jpg,https://artsandculture.google.com/asset/in-your-eyes-rafael-silveira/UAEtp8RBOsifjQ
58.jpg,https://artsandculture.google.com/asset/kabaddi-sukhpreet-singh/VgGhs-2QW5YTwA
10068.jpg,https://artsandculture.google.com/asset/waterfall-in-sm%C3%A5land-marcus-larson/WwG8pzKNJheQdA
15643.jpg,https://artsandculture.google.com/asset/the-sick-woman/fgG-l-0_ycmL5Q
7543.jpg,https://artsandculture.google.com/asset/composition-ralph-rumney/uwFQ6-Wa9zH1oA
6909.jpg,https://artsandculture.google.com/asset/o-carreiro-jos%C3%A9-ant%C3%B4nio-da-silva/qwEkdz3Rem4l1w
12930.jpg,https://artsandculture.google.com/asset/flower-still-life-rachel-ruysch/wwGar7jrYK1JgQ
15715.jpg,https://artsandculture.google.com/asset/a-bashi-bazouk-charles-bargue/zQF0hR_jS2g2fQ
13765.jpg,https://artsandculture.google.com/asset/the-virgin-and-child-with-a-saint-bartolomeo-montagna/2QHeQXJhxqD_Og
175.jpg,https://artsandculture.google.com/asset/untitled-st-barbara-rudolf-stingel/wQFqljz4yi2dvA
3147.jpg,https://artsandculture.google.com/asset/untitled-antonio-segu%C3%AD/hgFxnfvbwm0t7g
8963.jpg,https://artsandculture.google.com/asset/meridians-tiziano-bellomi/5gGIYtnC8P_MsA
70.jpg,https://artsandculture.google.com/asset/relaxing-yuan-xikun/AwHonK7gGvipDA
1852.jpg,https://artsandculture.google.com/asset/nocturne-blue-and-silver-battersea-reach-artist-james-mcneill-whistler/qwGEZF6aJcyKfA
5519.jpg,https://artsandculture.google.com/asset/senza-titolo-gianni-dova/QQHuHu4XX3-1UQ
5649.jpg,https://artsandculture.google.com/asset/orchard-in-blossom-apricot-trees-vincent-van-gogh/dgF6-P_Hz_n3ng
7675.jpg,https://artsandculture.google.com/asset/portrait-of-angela-bottini-maffini-oreste-bogliardi/gAE4smLloFSlcA
7432.jpg,https://artsandculture.google.com/asset/untitled-amadeo-de-souza-cardoso/BAFRdbTgUwR8YA
1287.jpg,https://artsandculture.google.com/asset/tahitian-woman-with-a-flower-paul-gauguin/_wFTl14TsmD5Cw
11658.jpg,https://artsandculture.google.com/asset/the-drummond-family-johan-joseph-zoffany-ra-1733%E2%80%931810-german-active-in-britain-from-1760/XgFpzP173JxWAg
6871.jpg,https://artsandculture.google.com/asset/sanbiza-boy-unidentified-south-american/4QG11Foaeha91A
12117.jpg,https://artsandculture.google.com/asset/young-girl-with-a-cage-giacomo-favretto/kQEZbE29WtFEQg
15134.jpg,https://artsandculture.google.com/asset/portrait-of-mary-rogers-lady-harington-marcus-gheeraerts-ii/8gEcL616RfZF2Q
8056.jpg,https://artsandculture.google.com/asset/el-pez-m%C3%A1gico-p%C3%A9rez-celis/NAEa3sFPNiy9_Q
13737.jpg,https://artsandculture.google.com/asset/war-news/tgFdBSjkwSLiLw
5578.jpg,https://artsandculture.google.com/asset/the-water-lily-pond-claude-monet/nQExbyttj8z58A
9061.jpg,https://artsandculture.google.com/asset/puerta-de-alcal%C3%A1-bego%C3%B1a-sopena/xQGFaiUisMPOIQ
5383.jpg,https://artsandculture.google.com/asset/qu%C3%A9-se-puede-hacer-salvo-ver-what-else-can-we-do-but-watch-gala-altamare/OAHohReET5QLbw
16060.jpg,https://artsandculture.google.com/asset/an-unknown-man-sir-joshua-reynolds-ra-1723%E2%80%931792-british/VgFx2hu17rmgJA
5901.jpg,https://artsandculture.google.com/asset/in-the-waves-dans-les-vagues-paul-gauguin-french-1848-1903/pgHbt2GNhI9grA
6234.jpg,https://artsandculture.google.com/asset/pumkin-lee-jung-sup/rAHNmvvYDr_fwA
7825.jpg,https://artsandculture.google.com/asset/ritual-andrea-speziali/7wF2Dj0HUs2pNg
11505.jpg,https://artsandculture.google.com/asset/double-trinity-with-saint-augustine-and-saint-catherine-of-siena-anonymous-cusco-school/EQFHBMfGVZ_q-Q
8125.jpg,https://artsandculture.google.com/asset/leonora-of-mantua-valentine-cameron-prinsep/lAHXsVZfINYgXg
15671.jpg,https://artsandculture.google.com/asset/prince-mihailo-obrenovi%C4%87-portrait-belgrade-city-museum-photographer-vladimir-popovi%C4%87-and-johann-b%C3%B6ss/sgFarRI8EVHh-g
7982.jpg,https://artsandculture.google.com/asset/the-flight-of-lot-and-his-family-from-sodom-after-rubens/BAHyaGsHG5LZAg
4267.jpg,https://artsandculture.google.com/asset/series-the-birth-of-olympism/WAEXr7I1Jpe0kw
10579.jpg,https://artsandculture.google.com/asset/bridal-veil-falls-yosemite-valley-california-albert-bierstadt-american-b-1830-d-1902/5gGdiRfQ5wSpOw
3020.jpg,https://artsandculture.google.com/asset/angels-clouds-and-a-crown-japs-antido/2AGP1qJIW0twpw
11303.jpg,https://artsandculture.google.com/asset/governors-of-the-leper-hospital-at-haarlem-jan-salomonsz-de-bray/ugHR6RU9KgMvdg
14815.jpg,https://artsandculture.google.com/asset/portrait-of-the-misses-mary-and-emily-mceuen-thomas-sully/wgGbz-5Q8fDcIQ
2177.jpg,https://artsandculture.google.com/asset/flores-juan-antonio-roda/SAEAK11K5AKXXA
4528.jpg,https://artsandculture.google.com/asset/hms-northumberland-brett-john/CwELUr1eN0DUrg
13376.jpg,https://artsandculture.google.com/asset/euphemia-white-van-rensselaer-george-p-a-healy/vgEcVp_Q57fepA
16145.jpg,https://artsandculture.google.com/asset/dido-and-aeneas-rutilio-manetti/ZQHszjlRYXNl0g
4463.jpg,https://artsandculture.google.com/asset/square-in-amecameca-francisco-romano-guillemin/zAGcJpjlKB5_PQ
6832.jpg,https://artsandculture.google.com/asset/spike-hole-zigi-ben-haim/WQHmVxuyNGOU9g
14577.jpg,https://artsandculture.google.com/asset/the-nursing-madonna-bernardo-cavallino/ygHCbAeDhl3IlQ
1303.jpg,https://artsandculture.google.com/asset/the-weeders-jules-breton/5AFGtL3-YQAPkA
10676.jpg,https://artsandculture.google.com/asset/piet%C3%A0-ercole-de%E2%80%99-roberti/cgHWdq-Pua-Nvg
1241.jpg,https://artsandculture.google.com/asset/anemone-matt-magee/RwEY71XgJBLnvg
5445.jpg,https://artsandculture.google.com/asset/eastern-white-pine-from-sleeping-porch-ariana-huggett/WwFvzQkS0QF6Mw
12850.jpg,https://artsandculture.google.com/asset/atalanta-and-hippomenes-guido-reni/AAE7-CJeb3hqCg
5074.jpg,https://artsandculture.google.com/asset/migration-enriqueta-dom%C3%ADnguez-rdez-pascual/LgGMx_cQsj_D_w
10008.jpg,https://artsandculture.google.com/asset/portrait-group-with-the-artist-s-father-amilcare-anguissola-and-her-siblings-minerva-and-astrubale-sofonisba-anguissola/JAGpQtsl01t0Hw
10512.jpg,https://artsandculture.google.com/asset/still-life/KAHhVndX8Cp9CQ
9565.jpg,https://artsandculture.google.com/asset/open-air-painters-amrita-sher-gil/vgF3D8Z9MLUT3Q
14543.jpg,https://artsandculture.google.com/asset/night-on-boardwalk-robert-henri/GAGvXKNURkIruw
12607.jpg,https://artsandculture.google.com/asset/the-vaughan-sisters-william-brymner/nAEWxPXy-GNPdQ
5255.jpg,https://artsandculture.google.com/asset/three-stories/LgGQPqkQLbnofA
