,black,blue,brown,green,grey,orange,pink,purple,red,turquoise,white,yellow,red_blue_ratio,red_green_ratio,red_yellow_ratio,red_purple_ratio,blue_yellow_ratio,blue_orange_ratio,blue_green_ratio,blue_purple_ratio,yellow_purple_ratio,yellow_green_ratio,yellow_orange_ratio,green_purple_ratio,green_orange_ratio,purple_orange_ratio,black_white_ratio,black_grey_ratio,black_brown_ratio,white_grey_ratio,white_brown_ratio,grey_brown_ratio,red_orange_ratio,orange_yellow_ratio,blue_turquoise_ratio,green_turquoise_ratio,purple_pink_ratio,red_pink_ratio,red_blue_dominance,red_green_dominance,red_yellow_dominance,red_purple_dominance,blue_yellow_dominance,blue_orange_dominance,blue_green_dominance,blue_purple_dominance,yellow_purple_dominance,yellow_green_dominance,yellow_orange_dominance,green_purple_dominance,green_orange_dominance,purple_orange_dominance,black_white_dominance,black_grey_dominance,black_brown_dominance,white_grey_dominance,white_brown_dominance,grey_brown_dominance,red_orange_dominance,orange_yellow_dominance,blue_turquoise_dominance,green_turquoise_dominance,purple_pink_dominance,red_pink_dominance,red_green_complementary,blue_orange_complementary,yellow_purple_complementary,analogous_group_1,analogous_group_2,analogous_group_3,analogous_group_4,analogous_group_5,warm_colors_total,cool_colors_total,neutral_colors_total,warm_cool_balance,warm_cool_ratio,num_dominant_colors,palette_variance,primary_dominance,color_diversity,dominant_is_warm,dominant_is_cool,dominant_is_neutral,color_balance
cluster_0,0.24589226258198374,0.031259402014683385,0.038372425772611,0.04053535937095686,0.08812497797988014,0.08678443103502266,0.019609365135081568,0.15580265583310182,0.06791394992709192,0.0054519319480031995,0.04931999367790923,0.17093324472367144,13.628326372074254,17.439864490272342,1.9836687622763778,-0.2097905534372745,-2.996908204092888,3.8291977877018226,13.861985218884943,-0.12143416548519771,-2.636459419814467,56.67811864467878,12.807515179867318,-1.1912047021727918,12.645814768749727,10.976153244942134,15.519294352997552,33.77438598908335,15.278695631651297,2.115903785193009,1.687662773669059,6.753310902090019,14.470817906621086,0.8484147631692003,12.666613482032465,3.6214875795102204,41.33026490239926,4.221381041916805,0.4667914699843494,0.5853499715479276,0.343378245910484,0.13857841014558786,-0.05745470833144588,0.2882855573673009,0.4791339136405715,-0.04480846738840837,0.28263950997405485,0.8936156501023844,0.8388354092378247,0.13040185915111066,0.22592310976966332,0.8425491688789667,0.8772493923639497,0.6625257685384962,0.8437523671947996,0.3249648984828298,0.4865765035263266,0.6905224613624936,0.3334982465681523,0.1240684428941301,0.6158877467136206,0.5398525519527759,0.9566790951171449,0.5333568721547822,0.16684055522858804,0.05324133579310185,0.9976743803351078,0.1653902213005739,5.677229695590549e-05,0.164892896203417,0.0009768750020292473,0.16485539929882873,0.36400405145839887,0.233049349166746,0.3833372342397737,0.17176645392669387,1.407022103455376,4.453228203219722,0.09903186145301385,0.27010659666544745,5.736608097724839,0.29409272487243976,0.1695594514488181,0.532968829519747,0.9009681385469861
cluster_1,0.5669833113533886,0.0003391675449397657,0.19977140187782122,0.0033973536017859367,0.13715473767174202,0.03932542260803878,0.003642470065181995,0.006435752930144325,-0.0026247557325840723,0.0016993206676381208,0.04207656391596435,0.001799253495938136,2.5563580986070846,0.3942393209539277,1.6571952605705258,0.40050602308850736,1.6559904672164862,-1.0915180761916552,1.3307998127355067,1.1587724128143275,1.1965186522171407,0.9260202764931054,0.1431826610407241,1.7465969887925092,0.17142527919043427,0.48367173506506345,107.96333676765539,15.549820093779644,7.845570343363261,0.6279719530275321,-2.1094895929087842,-1.6508678424594412,0.4786211695055874,19.1232773050314,1.2954263828707142,0.7090934434469337,2.783511615864432,0.893097676675654,0.027969076664653827,0.017946099175406405,0.026180512981562983,-0.0049141863804682065,0.015729899044440554,0.001565096311646972,0.018799877151010058,-0.004961757721173311,0.0671870948929175,0.06152131910793679,-0.003103221672530242,0.06491997869280351,0.037258035757920575,0.08171277199213213,1.031340013742542,1.0362695166002767,1.0183841095192936,0.10633956965822358,0.02911843387464974,0.25678660272821735,-0.0009136199572450101,0.8298822422395653,0.007176499147336586,0.07183363690000748,0.09826425336469632,-0.012766573930788528,0.00022467193556173148,-0.0010369742902741341,0.00013765749005196942,0.0011249407267277388,0.0003175603034185917,0.0005114522825813467,0.00024557676613538577,-4.855805609248549e-05,0.23827132224921424,0.011871594744508121,0.7462146129410953,0.22324609158011932,41.59117499407136,2.3692947487599603,0.17415200171896938,-0.00048633469170616397,3.1679827576273416,-0.0008505748047415692,-0.0016921192183557924,1.0017745555667765,0.8258479982810306
cluster_2,0.23566941604812117,-0.0015578001557161032,0.07118346312363631,0.004129517170053299,0.34045890058746425,0.029446991453016227,0.008387677819586633,0.00801420288064147,-0.0025723192871570863,0.00412340581627948,0.30035849474496523,0.00235804979910958,3.0111444166793224,0.37326205520919375,0.4913230605015106,0.11309780459260828,1.3427847445680436,0.8272512810202927,1.5654029912173115,0.10262095740577629,1.1210880245380532,0.29247954490567335,0.12021592278919467,1.6737759674177461,0.33477014761141655,2.610306770132757,0.055060852310999525,1.3783850882339288,6.7237256463680435,2.523913677581068,11.897566170309831,15.507843959047124,0.65494075557148,14.581512520841237,0.7510730138281201,2.0155376563822345,2.2969081341179773,0.51092332997737,0.04203138785039152,0.016178364369293124,0.02203785367475788,-0.00761169719915632,0.011970542670560264,0.010105008053171815,0.013411340577901323,-0.002198050423184815,0.02315631427403727,0.02534478279805566,0.006417209872985544,0.08338861972449724,0.009556162802797027,0.0925105112293609,0.3183770686212126,0.30121774857794886,0.7710185092269227,0.49010813298363587,0.9196935519567475,0.9202455944077359,0.01020930365687946,0.6852164914953419,0.015501795206436962,0.08239265994105771,0.13342578980342346,-0.019201569046985466,0.0002889683559920348,0.0010110740814398573,5.122815303419083e-05,-0.00018403835018241884,0.00016165926534192988,0.00012527267393984973,0.00011487272883028563,0.00012987002071230852,0.10041618508860467,0.014709325711258192,0.8764868113805503,0.09251344647136522,18.413623847787324,2.7787750344538917,0.15685591415397598,-0.001772069643763495,3.653453934059357,0.005949108547161195,0.0021455458797028024,0.9932981838179656,0.843144085846024
cluster_3,-0.010603847106048713,-0.003547984302513293,0.05229758227646105,-8.226614305613824e-05,-0.009581066906932285,0.034203461724046466,0.01502894941072461,-0.00456589795287945,0.9281230804298664,-0.0022908058955106833,0.006098419557936837,-0.005079625092097376,407.2545328152516,443.87661287237995,432.8126401483814,403.88083875513394,-1.6135015151519276,0.15485729499781475,-0.9543955343913046,-0.7757000057563239,-1.2566008545711917,0.8069716609474055,0.46212908034247796,0.3709649936666931,1.2204017519004113,2.388116015623305,-1.5813046757581395,1.538407401499485,-0.7530327413816451,7.212593601840747,0.28880005647140283,-0.45497586961411784,299.17450853685716,19.811751119843983,-1.662974775052416,-1.0636534671339613,0.4583103206248859,244.49555200966435,1.0286278186232929,0.9343699880366119,0.8715072434929709,1.0421839350298099,-0.024298520017153224,0.049558726062638093,-0.03333108017150178,0.027755658083595605,0.0774419139221751,0.033465910585830476,0.039433765994921564,-0.03657483602112773,0.057344305132224764,0.0048699546267909335,-0.03292389377106385,0.08661731265371904,0.005308327502256792,0.4933563023423129,0.3472360556989186,0.05695428715363942,0.9592712250496181,0.3166048637927393,-0.02872833186391297,-0.05130622484751844,-0.05289578803720663,1.098851380195313,9.998180341664675e-05,0.0012870227341594102,0.000661661858556683,-0.002978084651719353,0.00017662889968094743,-0.003377313103004696,-0.0013999750247541,-0.0057200598880327354,1.0095444993382758,-0.010486954293959953,-0.014086494455041253,0.9705190541692523,177.67678317005888,1.3792164734523633,0.23471148314392867,0.9194954710352553,1.5491056521945623,0.9665775520922085,0.0002604340889959573,0.0013401526878667057,0.7652885168560714
cluster_4,0.13123466004398227,0.41811032064968284,0.033308043762329265,0.011851544985963183,0.2092822292334689,0.012754981809325234,0.003723914108566492,0.03864946060663234,0.02438578216569668,0.00929162113388445,0.10275471235051567,0.004652729149952563,-1.8832663430298144,10.977975232092563,9.499249059322088,3.5499417892620273,186.07220893946558,148.1525152878314,193.02982793957494,126.87377899742432,0.5543282618221702,2.1689347469289038,1.010121077968004,2.702542781131046,3.2423999669705443,13.272765383462646,20.162802106954768,3.9483211873968154,40.35826958576347,3.7090438669565424,41.14473788088641,54.83203889332612,4.302295773342768,4.611383472446542,180.14461768574913,-1.2089973358412835,6.400486949858134,5.450399108810625,0.03927280711102576,0.34679022762374745,0.352195976079365,0.22757442452327195,1.0080086826784915,1.0119472777511969,1.0014132630514243,0.9815295091209619,0.11557390940366011,0.12319452509039198,0.0788314404668704,0.08054686664465777,0.08235778970273429,0.4403382761921937,0.4979674196121849,0.30061809058458855,0.7030338575806425,0.26260702658880936,0.6878549664323846,0.9016518974541752,0.28598030714504513,0.3103935911062416,1.0028307206803937,0.05915395342081735,0.45283462917476447,0.301043772341783,7.610187076715904e-05,0.010525289349865703,-0.00028643114699027447,-0.0009783165316025702,-0.00021420633668793013,0.02036139936235679,0.0006581777440043201,-0.0018581369967531,0.0751015368873039,0.4779029473761627,0.4432716016279669,0.40634871531570904,-2.052577471645808,2.951996309771773,0.15082752400158692,0.44714883196533145,3.53736106421642,0.005859325455223816,0.68708726501139,0.3104645164314942,0.8491724759984131
cluster_5,0.18115508452665738,0.017184105732926797,0.11189314552484103,0.2808237199489952,0.18932116038163427,0.05077493418000037,0.012268915180004242,0.01064305779713713,0.007704352472413632,0.0212113148609686,0.08634487245727915,0.03067533693714246,1.710417096186115,-1.2382094905642294,2.116980696271004,3.3068958120471117,3.7079479146257106,-0.9177474860582695,-1.5783211953415353,4.513314485988582,14.556374124807618,-2.155314229293806,2.0982617568197615,126.89930653877855,42.58896794076951,-1.2346622608402824,30.992190801913168,2.676629661128629,20.68075497685102,0.13484648918276812,15.742037775331962,13.205276962529604,2.113264110845661,16.59274108056823,5.244630798646127,115.79255530003236,0.7242007186975895,3.1340937925228247,0.20971279124886508,-0.04538660736449539,0.1996548033226883,0.26778864668537655,0.21116332997924483,0.15059609570279578,-0.04578429510269172,0.23533378684040615,0.4093430926898099,-0.03558238457184963,0.2441943034924782,1.008677549472111,0.9690632273010501,0.07475051474550587,0.6814913632344484,0.4264579585899258,0.622973499758708,0.23048207650928862,0.3787602815675453,0.6631555185731969,0.12426864332643989,0.6535571572980942,0.25159371810343556,0.988524910334037,0.023334019707068922,0.22780678618421246,-0.001617578046663017,-0.0032484807857728094,0.0003983822943826852,0.0011232496626050112,-0.0016022726001731769,-0.00019084095621230756,0.0025092611451854995,-0.0009033236649088332,0.20104776911439748,0.3298621983400274,0.45682111736557046,0.21930576955177683,0.8159903183967864,3.5578721353492284,0.12079330381079234,0.05556379514248293,4.720199377904965,0.11443681259065826,0.49956775683593097,0.37778959127654316,0.8792066961892075
cluster_6,0.11877670785650493,0.03111118135185018,0.0473341409875472,0.08508987877452538,0.19641526064352324,0.036440833088205726,0.014532431495069026,0.006278147898431781,0.0232944886771437,0.2773976377633579,0.14092578515343748,0.022403506310403477,2.327413935379248,5.302359163721937,6.2440528524592045,7.928674362458103,11.26424276663403,8.198504122245955,8.77066878800638,9.651317295787162,9.732535783435274,2.118204154630702,3.0240366776492804,35.14229181179453,14.065568176506272,1.0247226479047349,3.288162088154636,1.271201953876935,17.405546628733074,1.9654750430377048,21.826531114716616,35.69036907839969,3.2947655071885373,4.903081338866759,-4.921785068540196,-7.272884611439167,0.9413283286767573,5.043653688906076,0.32440473317761975,0.2668936034557694,0.3248480620102734,0.40799848087616447,0.3631779477042902,0.35089876871913783,0.3283672364129574,0.43861667511340935,0.46211827066086486,0.211851413862061,0.18200688687773828,0.6776831284580219,0.5664311801777091,0.10463186034143546,0.42111091057487154,0.3246726252691636,0.7768792333647583,0.32029602102296606,0.8362776936414226,0.935477232430814,0.19199254437908794,0.6182769776791388,-0.01337237420283612,0.002191194909558358,0.14237091450040443,0.3396281610658778,-0.001183143063676389,0.0020758927942893714,0.0008062436544950184,-0.0017063076637360772,0.0005067317990503714,0.00034345722566984254,-0.004364494333521283,6.848592426144106e-05,0.12947296906330072,0.39987684578816485,0.4561177536534653,0.28391264783933234,-4.625382328611981,3.4765897651753126,0.11519109373687002,0.07680917633939703,4.806310158487217,0.017070528184675523,0.4446752986085679,0.5334684872425578,0.88480890626313
cluster_7,0.047010020517275077,0.02558873500836985,0.1604595149751816,0.00045337677742938494,0.05668581144641673,0.07272202840162133,0.04212032542218626,0.01942688506074733,0.4475576234246093,0.004137424195996325,0.11639760931082133,0.007440645459344501,190.34546756295344,205.64671852621532,201.9428454212722,187.45109592253334,11.003483732623229,8.73775467260877,11.274919324294414,8.188817909000603,2.1479893968942725,2.416036678815832,0.921400373429187,0.08114313442979879,0.2018205837048501,4.8839502947262545,6.4390633335911405,4.214176072678483,0.791362122221812,21.705004557163367,10.136369069638436,6.502080276179544,112.64504831908647,30.955354475659615,9.489586689785117,1.6896667768545282,2.8384152766291635,96.42211425316624,0.9809418470757831,1.0268455971121133,1.0283436361487714,0.9702163397715171,0.2576126250178616,0.14373391079842665,0.27494515988470114,0.22841769967005798,0.10292436170329468,0.1253932627422844,0.0696088847897085,0.03699122559451908,-0.01875348120776704,0.22463636191690703,0.27593627709142615,0.3488074666910671,0.2194561482828029,0.6334912305020062,0.4899079082118926,0.23828512161904977,1.0098047194231448,0.5878633838540839,0.25836574338684626,0.054222947319644964,0.19836592819369397,0.9465647738698545,-0.003633169402155578,-0.0019076838035700602,-0.0003934398734119069,0.0005056207242390553,-9.68759891450672e-05,0.002040061287189171,-2.085230648589784e-05,0.0039045214439604042,0.6881798122607565,0.04960642104254277,0.22009344127451405,0.6605151178261783,97.83499996440318,2.7468011604974776,0.1580894427882178,0.48058700389232384,3.611070023513628,0.8840707990089209,0.002610412594617418,0.0820726127552734,0.8419105572117822
cluster_8,0.18055504446712511,0.08541886819078306,0.04315056875757064,-0.0015026476527628529,0.4085304724693021,0.009319768074623393,0.015641488241078663,0.021187805060579944,0.0042007071156811935,0.008711226947068476,0.22310854564067692,0.0016781526882731826,-6.87299208254485,2.8941974587745185,1.5433189178857625,-0.1898831318791125,35.280225603193124,26.103692978226015,34.78252765419209,23.850101204956644,-0.6288526913090967,1.8293119265465856,0.6503327509192636,-4.0941184665605315,2.0457609443262785,7.690839368067288,7.464552223882452,1.0585853388227064,28.532484741089252,2.8545223290203516,44.44096506516485,80.90920446827049,2.058034729622868,3.68674450080763,35.00032449001366,3.9859359549748823,8.165995076657381,2.3393485159353005,-0.06828990588780688,0.151953747633395,0.1218012279327246,0.07476570199234855,0.9857755828565343,0.9338144430171003,0.9632218154060453,0.8633231909788388,0.03118132838959069,0.09022085583563365,0.06521423873705302,0.008938839374350487,0.021438492541727448,0.4970808651287817,0.47190285184255576,0.24960514537037068,0.8639079011224379,0.29738146338830646,0.8498497966589423,1.042429982612336,0.08701965766124224,0.35664833639937665,1.0026904691848557,0.04931894802868127,0.4341523443619184,0.1048623970283179,-0.0001934440316679865,-0.003026436147587932,-0.0005359603843482038,0.0008573324077068079,-0.0007344537032262066,-0.0003418283114895873,0.0011246719999969677,-0.0005306757032927486,0.058349196636148334,0.11381525254566861,0.8121940625771044,0.09496102683347835,-1.8302519921855256,2.641589306678506,0.15715626801435081,0.09129772799473727,3.6304906160521373,-0.004570542567378986,0.004260090376371749,0.9937279594943933,0.8428437319856492
cluster_9,0.07853941069562821,0.0019022103942125444,0.0112931603725658,0.0022351318249336878,0.10731904396652744,0.014583277055088257,0.008962547236874506,0.0029506486546351366,0.0029296229616665582,0.00578993374203869,0.7602772878120954,0.0032177252837344347,0.6829355473351082,1.346513253881017,1.135620741386133,0.5168280015731733,1.3501434973643587,0.581488580001094,2.4748559434048176,1.214514771612061,1.4020948820289398,2.2896032587464745,0.8642884623239755,1.8680538221243832,0.26677324007709974,0.5039636733939497,0.14754302372337066,4.3055870883269955,23.010636551055022,57.88827895804454,284.5167863264838,37.54863273572584,2.0345449575572574,4.835054467848628,1.0569329387614514,0.5573139550264029,0.8769230672249394,2.112980566923864,0.12546829810302018,0.14745313520089867,0.12687436457169388,0.1360568924076986,0.08226730986275826,0.06745059923783422,0.09943037589545921,0.10308852729737478,0.1412691685142336,0.15419065569334053,0.07779351553530679,0.06224839625554562,0.032676204233788135,0.10502588783353241,-0.055856934037464785,0.2846049586319266,0.6462077500863227,1.0268626359717885,0.975716313158016,0.9401268737594857,0.10565738414155157,0.31217210261793993,0.08102433996690495,0.044328937013770865,0.11320804804052864,0.10468456670170889,0.0003394664611501692,0.0012424976103090773,1.1631362806893233e-06,-0.0005148146421942594,0.0004473940382470665,0.0001643889036832923,-0.0002866068346962768,3.3742541946307814e-05,0.03202378567305434,0.012877924615820078,0.9461357424742506,0.03352693484784545,4.96719335626638,1.6416953003995698,0.21622618984693556,0.008049558639613404,2.09147992877656,0.013027177393709122,-0.0012518527776153939,0.9889427997543488,0.7837738101530644
